org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
이어,3,1,5,3,1,0,2,4,1,0,2,3,2,0
이제,1,3,2,1,2,0,4,3,1,1,1,2,2,1
이주선,0,1,3,1,1,1,1,2,0,5,1,2,0,2
이후,1,1,1,4,2,0,1,2,1,0,1,4,1,2
인간,0,0,1,2,0,1,1,1,1,0,1,4,1,0
인도,4,2,9,6,3,2,6,4,11,2,5,7,1,1
인도에서,1,2,1,2,1,0,2,0,2,1,2,3,1,0
인베니아,0,1,0,0,2,0,1,0,0,1,1,3,1,0
인쇄용지,0,0,0,0,0,0,0,1,0,0,5,1,1,0
인재,2,1,3,1,1,1,1,5,1,0,2,0,1,1
인정받아,2,2,10,0,5,4,7,4,1,2,4,4,0,0
인정받았다.,3,3,15,1,5,6,8,7,2,3,5,4,0,1
인증,1,2,3,2,0,2,0,2,0,0,1,2,0,0
인터넷,1,0,0,0,1,0,1,0,2,1,1,0,1,1
인프라,2,2,2,5,1,0,2,2,3,0,2,2,3,2
일곱,1,0,2,0,1,0,1,2,1,2,1,1,2,4
일반분양,0,2,2,0,0,0,0,1,0,0,1,1,4,0
일본,1,0,2,0,1,0,1,2,1,2,1,1,2,4
일정,0,0,0,0,0,0,0,0,0,0,2,1,1,1
임직원,0,0,0,0,0,0,0,1,0,0,10,2,2,0
입장,0,0,0,1,0,0,0,0,1,0,1,3,1,0
있는,11,6,40,8,22,17,16,30,7,51,25,43,15,24
있다,4,4,8,12,7,2,4,6,4,2,4,7,4,3
있다.,34,35,69,55,44,33,48,69,38,17,65,86,42,30
있다고,0,1,3,13,4,2,0,4,0,0,3,6,2,4
있도록,1,7,2,1,1,1,2,2,2,0,1,4,0,1
있으며,4,3,6,6,4,4,4,8,6,1,5,5,2,1
자금,2,0,6,4,3,1,3,3,7,1,2,2,0,1
자금조달,0,1,0,0,2,0,1,0,0,1,1,3,1,0
자동차,5,3,7,8,6,3,5,9,6,1,7,10,4,3
자동화,2,2,3,3,3,2,1,5,3,0,2,2,0,0
자료,2,1,2,3,4,2,1,4,1,0,3,3,2,0
자본,0,1,0,3,0,0,1,0,1,0,1,0,1,1
자율주행,2,2,3,3,3,2,1,5,3,0,2,2,0,0
자카르타,0,1,1,0,0,0,1,1,1,0,1,0,0,0
작가,0,0,1,2,0,1,1,1,1,0,1,4,1,0
작금작금,1,0,0,1,1,0,0,0,0,0,1,2,1,0
잡포스트,1,0,0,1,0,0,0,0,0,0,1,0,0,1
장관,1,0,0,0,0,1,2,0,2,0,1,1,1,0
장벽,0,14,1,0,0,2,6,1,0,0,3,1,0,3
장비,10,1,13,12,30,2,8,19,4,5,11,7,3,0
장애인,0,0,0,0,0,0,0,1,0,0,5,1,1,0
장을,1,0,0,2,1,0,0,1,0,0,1,1,0,0
장중시황,0,1,0,0,0,0,0,0,0,0,0,0,0,0
재택치료,0,1,0,3,1,0,0,1,1,0,3,5,2,0
저가,3,0,4,3,1,0,1,3,0,0,1,3,2,0
적재,4,1,2,1,0,1,1,2,1,0,1,0,0,0
적중,0,0,0,0,0,0,0,0,0,0,2,1,1,1
적중금,0,0,0,0,0,0,0,0,0,0,2,1,1,1
전국,2,2,3,1,1,1,1,5,2,0,3,0,1,1
전기,1,0,2,1,1,3,2,2,0,0,2,4,1,1
전기적,2,1,0,2,0,0,1,1,1,0,1,1,0,0
전기차,1,0,2,1,1,3,2,2,0,0,2,4,1,1
전날,1,0,0,2,1,0,0,1,0,0,1,1,0,0
전동화,1,0,3,1,1,1,0,2,1,0,1,0,0,0
전략,4,3,2,2,2,0,2,4,3,0,3,4,0,3
전력,0,0,0,0,0,0,0,1,0,0,10,2,2,0
전망이다.,1,3,2,1,2,0,4,3,1,1,1,2,2,1
전시회,2,1,2,3,4,2,1,4,1,0,3,3,2,0
전장,2,1,3,1,3,1,1,4,2,0,3,3,1,0
전주,0,0,0,1,0,0,0,0,1,0,1,3,1,0
전투,1,0,2,0,1,0,1,2,1,2,1,1,2,4
전했다.,0,0,1,5,1,1,0,2,0,0,1,3,0,1
절감,0,0,0,0,0,0,0,1,0,0,5,1,1,0
점에서,1,0,0,0,1,0,1,0,1,1,1,2,0,1
접는,0,0,2,0,1,2,1,2,0,5,1,3,1,2
