org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
거래일,3,5,2,2,1,3,3,3,2,1,2,0
건설,1,0,0,1,0,1,3,3,0,0,1,0
검은,0,0,0,0,0,0,2,2,2,0,1,0
것으로,29,10,12,11,16,12,22,17,13,23,12,9
게이밍,25,4,9,8,15,0,12,12,12,15,8,32
게임,27,11,24,21,17,7,16,21,19,13,18,41
결국,4,0,0,0,1,0,1,1,0,2,0,1
경구용,3,3,2,1,3,1,2,2,1,3,1,1
경기,0,0,0,3,0,0,0,2,1,0,1,0
경쟁,13,3,8,5,4,2,8,7,5,12,7,4
경험,7,4,9,9,2,2,7,5,9,1,5,2
계약,5,4,4,2,1,4,5,3,4,3,5,1
고객,1,4,1,6,1,5,3,8,5,0,4,0
고객사,9,3,3,2,2,1,6,5,3,9,4,2
고발했다.,0,0,0,0,0,0,0,1,0,0,1,0
고양,0,0,2,3,1,2,1,1,1,0,2,1
공개된,3,2,1,3,1,1,3,2,2,2,1,1
공급,10,8,4,2,12,8,9,4,6,9,4,3
공급망,7,5,9,5,1,1,8,6,4,7,8,2
공급키로,2,3,2,0,5,3,3,2,1,3,0,1
공로,4,3,1,1,3,1,2,1,2,3,0,1
공식,0,1,1,1,0,2,2,1,0,0,0,1
공장,1,0,0,1,0,1,3,3,0,0,1,0
공정,8,4,4,2,5,2,5,4,4,7,2,2
공정장비,3,3,2,1,3,1,2,2,1,3,1,1
공정한,8,2,1,2,3,2,5,5,1,9,3,2
공제,4,2,4,0,0,0,3,4,1,2,2,0
과자,0,0,0,4,2,0,0,3,2,0,1,0
관람,0,0,0,3,0,0,0,2,1,0,1,0
관람객,2,0,3,2,0,0,2,1,1,0,2,0
관련해서,5,0,1,3,2,1,3,2,2,4,2,1
관리하,0,0,1,2,0,0,0,1,0,2,1,0
관세,1,0,0,1,0,1,4,5,0,0,3,0
광전자,3,0,2,0,0,1,2,0,0,0,0,0
굉장히,9,1,2,4,3,2,6,4,3,8,4,2
교수,4,2,0,2,0,0,3,0,1,0,3,0
교수법,1,2,0,2,0,0,1,0,1,0,2,0
교수자들,1,2,0,2,0,0,1,0,1,0,2,0
교육,1,2,0,2,0,0,1,0,1,0,2,0
구동,3,2,2,1,4,2,2,1,2,2,0,1
구축해,3,2,0,1,3,0,2,0,1,2,3,1
국민의힘,0,0,0,0,0,0,0,1,0,0,1,0
국산화,4,3,1,1,3,1,2,1,2,3,0,1
권리,1,0,0,4,2,5,2,2,0,0,1,0
규모,8,9,6,3,15,6,10,4,5,9,0,3
규모로,6,2,3,2,4,5,7,4,3,6,5,2
그라비티,0,2,3,1,1,2,0,1,1,0,2,2
그래픽,4,1,2,1,3,0,2,2,2,2,1,5
그러면서,0,0,0,0,0,0,0,1,0,0,1,0
근데,0,0,0,1,0,0,1,0,0,0,1,0
글래스,3,1,5,1,1,1,2,2,1,3,3,2
금요일,0,0,0,0,0,0,2,2,2,0,1,0
금쪽같,0,0,0,1,1,0,0,5,1,0,0,0
기간,4,2,4,2,0,0,3,5,1,2,2,0
기계,2,4,2,2,2,5,2,2,3,0,2,0
기기,3,4,4,5,1,6,4,4,6,0,3,1
기념식,4,1,1,1,3,1,2,2,2,4,1,1
기념식에,4,1,1,1,3,0,2,3,1,5,1,1
기반,7,6,5,5,4,2,7,2,6,3,5,2
기반으로,1,1,3,2,0,0,1,2,2,0,3,1
기부,0,0,0,1,1,0,0,3,1,0,0,0
기술보호,1,1,0,1,0,0,1,0,1,0,1,0
기술지킴서비스,1,1,0,1,0,0,1,0,1,0,1,0
기업들,1,0,0,1,0,1,3,3,0,0,1,0
기업으로,7,10,4,5,6,6,7,7,5,3,6,1
